Barcodes	Graph-based clusters	Total count	Total expressed feature	Cluster	Sample ID	Cell type	Diagnosis	Plate	Sample pathology	BioTuring - Anatomy	BioTuring - Cell type	Graph-based clusters (Fibroblast)	Cell class	Graph-based clusters (Monocyte)	Graph-based clusters (T cell)	Graph-based clusters (B cell)
S006_L1Q1_A03	Cluster 3	13103.7004	1502	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_A05	Cluster 3	16330.1988	1980	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_A07	Cluster 3	13982.1698	1583	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_A09	Cluster 3	15679.3506	1847	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_A11	Cluster 3	14345.2584	1631	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_A15	Cluster 5	11015.9843	1204	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 1	Unassigned
S006_L1Q1_A17	Cluster 3	14203.1727	1672	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S006_L1Q1_A19	Cluster 3	12426.729	1406	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_A23	Cluster 3	9555.0446	1016	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S006_L1Q1_C07	Cluster 3	18131.5194	2189	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_C11	Cluster 3	17749.9144	2129	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
