stable_nodes_name;occurence
ACVR2A_ACVR2B_complex;0
ACVR2A_ACVR2B_INHBA_complex;0
ACVR2A_ACVR2B_INHBB_complex;0
ADCY8;0
AKT1_M1_macrophage___Cytoplasm;0
AKT1_M2_macrophage_nucleus;0
AKT1_phosphorylated;0
apoptosis_fibroblast_phenotype;0
apoptosis_M1_macrophage_phenotype;0
apoptosis_TH1_phenotype;0
Apoptosome_complex;0
ARI_ARII_bmp6_complex;0
BAD_Fibroblast___Mitochondrion;0
BAD_M1_macrophage__Mitochondria_membrane;0
BAD_M2_macrophage_mitochondrion_membrane;0
BAK1;0
BAX_Fibroblast___Mitochondrion;0
BAX_Fibroblast___Mitochondrion_active;0
BCL2_M1_macrophage__Mitochondria_membrane_active;0
BCL2_M2_macrophage_mitochondrion_membrane_active;0
BCL2L1_M1_macrophage__Mitochondria_active;0
BCL2L1_M2_macrophage__mitochondria;0
BCL2L11_Fibroblast___Cytoplasm;0
BCL2L11_Fibroblast___Cytoplasm_active;0
BCL2L11_TH1___cytoplasm;0
BID;0
BRAF_phosphorylated;0
CASP3_Fibroblast___Cytoplasm;0
CASP3_M1_macrophage___Cytoplasm;0
CASP7_M1_macrophage___Cytoplasm;0
CASP8_Fibroblast___Cytoplasm;0
CASP9_M1_macrophage___Cytoplasm;0
CASP9_M2_macrophage__cytoplasm;0
CD32b_igG_complex;0
CDC25B_C;0
CDKN1A;0
CREB1_phosphorylated_M2_macrophage_nucleus;0
CTNNB_CK1A_AXIN_GSK3B_APC_complex;0
CTNNB1_Fibroblast___nucleus;0
CYCS;0
FN1_Fibroblast___Extracellular_Space;0
FN1_Fibroblast___secreted_components;0
FN1_ITGAV_complex;0
FOXO1_Fibroblast___nucleus;0
FOXO3;0
gata3_rna;0
GSK3B;0
IGF1;0
IGF1_IGF1R_complex;0
igG;0
IKKE_TBK1_TRAF3_complex;0
ITCH_phosphorylated_M1_macrophage___Cytoplasm;0
ITCH_phosphorylated_M2_macrophage__cytoplasm;0
JAK1_Fibroblast___Cytoplasm;0
JAK2_Fibroblast___Cytoplasm;0
JAK3;0
LAT_phosphorylated;0
LGALS9_TIM3_complex;0
LTBP1;0
maf_rna;0
MAPK1_empty;0
MAPK1_phosphorylated_Fibroblast___Cytoplasm;0
mcl1;0
Mcl1_rna_M2_macrophage_nucleus;0
MDM2_phosphorylated_M1_macrophage___Cytoplasm;0
MDM2_phosphorylated_M2_macrophage__cytoplasm;0
MEKK1_M2_macrophage__cytoplasm;0
MIR10a_rna;0
MIR124A_rna;0
MIR146A_rna;0
MIR192_rna;0
MIR34A_rna;0
MIR451A_rna;0
MIR650_rna;0
MSK1_phosphorylated;0
NOD2;0
NOS2_phosphorylated;0
NRAS;0
OPN_M1_macrophage___Cytoplasm;0
OPN_M2_macrophage__cytoplasm;0
p15_rna_M1_macrophage___nucleus;0
p300_SP1_complex_M1_macrophage___nucleus;0
p300_SP1_complex_M2_macrophage_nucleus;0
p38_MAP_KINASE_phosphorylated_M1_macrophage___Cytoplasm;0
p38_MAP_KINASE_phosphorylated_M1_macrophage___nucleus;0
p38_MAP_KINASE_phosphorylated_M2_macrophage__cytoplasm;0
p38MAPK_phosphorylated;0
PI3K_M1_macrophage___Cytoplasm;0
PI3K_M2_macrophage__cytoplasm;0
PIK3AP1_phosphorylated_M1_macrophage___Cytoplasm;0
PIK3AP1_phosphorylated_M2_macrophage__cytoplasm;0
PP2A;0
proliferation_survival_M2_macrophage_phenotype;0
Rac1_TH1___cytoplasm;0
RBL1_E2F4_DP1_complex;0
RHOA_Fibroblast___Cytoplasm;0
RHOA_M1_macrophage___Cytoplasm;0
RHOA_M2_macrophage__cytoplasm;0
RIPK3;0
RUNX1;0
SARA_M1_macrophage___Cytoplasm;0
SARA_M2_macrophage__cytoplasm;0
SARM1;0
SHIP1_TH1___cytoplasm;0
Sirt1_M1_macrophage___nucleus;0
Sirt1_M2_macrophage__cytoplasm;0
smad1_phosphorylated;0
SMAD2_phosphorylated_M1_macrophage___Cytoplasm;0
SMAD2_phosphorylated_M2_macrophage__cytoplasm;0
SMAD2_SARA_complex_M1_macrophage___Cytoplasm;0
SMAD2_SARA_complex_M2_macrophage__cytoplasm;0
SMAD2_SMAD4_complex_M1_macrophage___nucleus;0
SMAD2_SMAD4_complex_M2_macrophage_nucleus;0
SMAD4_M1_macrophage___Cytoplasm;0
SMAD4_M2_macrophage__cytoplasm;0
smad4_smad1_complex;0
sst;0
sst_sstr_complex;0
