Node;Name
CCL5_ACKR2_complex;ACKR2
ACKR3_CXCL12_complex;ACKR3
CXCL13_ACKR4_complex_M1_macrophage__Cytoplasmic_membrane_up,CXCL13_ACKR4_complex_M2_macrophage__cytoplasmic_membrane_up;ACKR4
ACVR2A_ACVR2B_complex;ACVR2A
ACVR2A_ACVR2B_complex;ACVR2B
ADAMTS4;ADAMTS4
ADAMTS9_rna;ADAMTS9
ADCY8;ADCY8
AGT;AGT
AKT1_M1_macrophage___Cytoplasm,AKT1_M2_macrophage_nucleus,AKT1_phosphorylated,AKT1_TH1___cytoplasm;AKT1
AKT2;AKT2
AMAP1;AMAP1
APAF1;APAF1
CTNNB_CK1A_AXIN_GSK3B_APC_complex,GSK3b_APC_AXIN1_CTNNB1_CK1A_complex;APC
AREG_Fibroblast___Extracellular_Space,AREG_M1_macrophage___Secreted_components;AREG
ARHGEF12;ARHGEF12
ARHGEF2_Fibroblast___Cytoplasm,ARHGEF2_TH1___cytoplasm;ARHGEF2
ARI_ARII_bmp6_complex;ARI
ARI_ARII_bmp6_complex;ARII
ARRB2_Fibroblast___Cytoplasm,ARRB2_M1_macrophage___Cytoplasm,ARRB2_M2_macrophage__cytoplasm;ARRB2
ASC_M1_macrophage___Cytoplasm,ASC_M2_macrophage__cytoplasm;ASC
ASK1_M1_macrophage___Cytoplasm,ASK1_M2_macrophage__cytoplasm;ASK1
CTNNB_CK1A_AXIN_GSK3B_APC_complex,GSK3b_APC_AXIN1_CK1A_complex,GSK3b_APC_AXIN1_CTNNB1_CK1A_complex,GSK3b_APC_AXIN1_CK1A_complex,GSK3b_APC_AXIN1_CTNNB1_CK1A_complex;AXIN1
PDIA3_HLA_A_B2M_complex;B2M
BAD_Fibroblast___Mitochondrion,BAD_M1_macrophage__Mitochondria_membrane,BAD_M2_macrophage_mitochondrion_membrane;BAD
BAK1;BAK1
BAX_Fibroblast___Mitochondrion,BAX_Fibroblast___Mitochondrion_active,BAX_M1_macrophage__Mitochondria_membrane,BAX_M2_macrophage_mitochondrion_membrane;BAX
