Names;Target_nodes
PDE4B;PDE4B
SRC;Src_M1_macrophage___Cytoplasm,Src_M2_macrophage__cytoplasm,SRC_phosphorylated,Src_TH1___cytoplasm
MAP3K1;MAP3K1_phosphorylated,MAP3K14_phosphorylated,MEKK1_M1_macrophage___Cytoplasm,MEKK1_M2_macrophage__cytoplasm,TRAF6_ECSIT_MEKK1_TAB1_TAB2_TAK1_complex
MAP3K2;MAP3K2_3_4
IKBKB;IKBKB_phosphorylated
GSK3B;GSK3B_M2_macrophage_nucleus,GSK3B_Fibroblast___Cytoplasm
CCNB1;CCNB1_CDC2_complex
SIRT1;Sirt1_M1_macrophage___nucleus,Sirt1_M2_macrophage__cytoplasm
MAPK1;MAPK1_empty,MAPK1_phosphorylated_Fibroblast___Cytoplasm,MAPK1_phosphorylated_TH1___cytoplasm
RPS6KB1;RPS6KB1_phosphorylated
MAPK8;MAPK8,MAPK8_phosphorylated
MAPK14;p38_MAP_KINASE_phosphorylated_M1_macrophage___Cytoplasm,p38_MAP_KINASE_phosphorylated_M1_macrophage___nucleus,p38_MAP_KINASE_phosphorylated_M2_macrophage__cytoplasm,p38_MAP_KINASE_phosphorylated_M1_macrophage___Cytoplasm,p38_MAP_KINASE_phosphorylated_M1_macrophage___nucleus,p38_MAP_KINASE_phosphorylated_M2_macrophage__cytoplasm,p38MAPK_empty,p38MAPK_phosphorylated,p38MAPK_empty,p38MAPK_phosphorylated
LCK;LCK_phosphorylated
AKT1;AKT1_M1_macrophage___Cytoplasm,AKT1_M2_macrophage_nucleus,AKT1_phosphorylated,AKT1_TH1___cytoplasm
PTPN6;PTPN6_Fibroblast___Cytoplasm,PTPN6_M1_macrophage___Cytoplasm,PTPN6_M2_macrophage__cytoplasm
PTGS2;PTGS2_rna
TLR9;TLR9_DNA_complex
TLR8;TLR7_TLR8_ssRNA_complex
TLR7;TLR7_TLR8_ssRNA_complex
MMP1;MMP1
MMP14;MMP14_M1_macrophage___Secreted_components,MMP14_M2_macrophage__secreted_components
MMP3;MMP3_Fibroblast___secreted_components,MMP3_M1_macrophage___Secreted_components,MMP3_M2_macrophage__secreted_components
MMP9;MMP9_Fibroblast___secreted_components,MMP9_M1_macrophage___Secreted_components,MMP9_M2_macrophage__secreted_components
MMP13;MMP13
HCK;HCK
MCL1;MCL1,mcl1,Mcl1_rna_M1_macrophage___nucleus,Mcl1_rna_M2_macrophage_nucleus
BRAF;BRAF_phosphorylated
MET;PLXNB1_MET_complex,PLXNB1_MET_sema4a_complex,PLXNB2_MET_complex,SEMA4_PLXNB2_MET_complex
MDM2;MDM2,MDM2_phosphorylated_Fibroblast___Cytoplasm,MDM2_phosphorylated_M1_macrophage___Cytoplasm,MDM2_phosphorylated_M2_macrophage__cytoplasm
JAK2;JAK1_JAK2_complex_M1_macrophage___Cytoplasm,JAK1_JAK2_complex_TH1___cytoplasm,JAK1_JAK2_TYK2_complex,JAK2_Fibroblast___Cytoplasm,JAK2_M1_macrophage___Cytoplasm,JAK2_M2_macrophage__cytoplasm,JAK2_TYK2_complex_M1_macrophage___Cytoplasm,JAK2_TYK2_complex_TH1___cytoplasm,TYK2
CSF1R;CSF1R,CSF1R_CSF1_complex
CD40;CD40_Fibroblast__Cytoplasmic_membrane_up,CD40_M1_macrophage__Cytoplasmic_membrane_down
EGFR;AREG_EGFR_complex,EGF_EGFR_complex,EGFR,HBGEF_EGFR_complex
JAK1;JAK1_Fibroblast___Cytoplasm,JAK1_JAK2_complex_M1_macrophage___Cytoplasm,JAK1_JAK2_complex_TH1___cytoplasm,JAK1_JAK2_TYK2_complex,JAK1_JAK3_complex,JAK1_M1_macrophage___Cytoplasm,JAK1_M2_macrophage__cytoplasm,JAK1_TYK2_complex_M1_macrophage___Cytoplasm,JAK1_TYK2_complex_M2_macrophage__cytoplasm,JAK1_TYK2_complex_TH1___cytoplasm,TYK2
CSF2;CSF2_Fibroblast___Extracellular_Space,CSF2_M1_macrophage___Extracellular_Space,CSF2RA_CSF2RB_complex_Fibroblast__Cytoplasmic_membrane_up,CSF2RA_CSF2RB_complex_M1_macrophage__Cytoplasmic_membrane_up,CSF2RA_CSF2RB_CSF2_complex
IL15;IL15_M1_macrophage___Secreted_components,IL15_M2_macrophage__secreted_components
DKK1;DKK1
PDCD1;PDCD1
IL2;IL2
IL9;IL9R_IL2RG_IL9_complex
PPARG;PPARg_rna
IL1A;IL1A,IL1A_IL1R1_complex
ICAM1;ICAM1_Fibroblast__Cytoplasmic_membrane_down,ICAM1_ITGB2_ITGAL_complex,ICAM1_M1_macrophage__Cytoplasmic_membrane_down,ICAM1_TH1___cytoplasmic_membrane_down
BTK;BTK_rna
VEGFA;vegfa,VEGFa_Fibroblast___Extracellular_Space,VEGFA_VEGFR_complex,VegfR1_Vegfa_complex
PTPN11;PTPN11_phosphorylated,SHP2_GRB2_complex
MTOR;mtor
CXCR4;MIF_CXCR4_complex
IL23R;IL23R_IL12RB1_complex_M1_macrophage__Cytoplasmic_membrane_up,IL23R_IL12RB1_complex_M2_macrophage__cytoplasmic_membrane_up,IL23R_IL12RB1_IL23_complex_M1_macrophage__Cytoplasmic_membrane_up,IL23R_IL12RB1_IL23_complex_M2_macrophage__cytoplasmic_membrane_up
IL4R;IL4_IL4Ra_complex,IL4R,IL4_IL4Ra_complex
SYK;SYK_M1_macrophage___Cytoplasm,SYK_M2_macrophage__cytoplasm,Syk_phosphorylated
NRAS;NRAS
CXCR3;CXCL10_CXCR3_complex_Fibroblast__Cytoplasmic_membrane_up,CXCL10_CXCR3_complex_TH1___cytoplasmic_membrane_up,CXCL13_CXCR3_complex,CXCR3
RAF1;RAF1_Fibroblast___Cytoplasm,RAF1_M1_macrophage___Cytoplasm,RAF1_M2_macrophage__cytoplasm,RAF1_TH1___cytoplasm
JAK3;JAK1_JAK3_complex,JAK3,TYK2
F2R;AGT_F2R_complex
TGFBR1;TGFB1_TGFBR1_complex,TGFBR1_TGFBR2_complex,TGFBR1_TGFBR2_TGFB1_complex
MAP3K7;MAP3K7_phosphorylated,MAP3K7_rna
CCR2;CCL2_CCR2_complex_M1_macrophage__Cytoplasmic_membrane_up,CCL2_CCR2_complex_TH1___cytoplasmic_membrane_up,CCR2_CCL2_complex
