node;value
TRAF6_IRAK1_IRAK4_complex;0
GNB_GNG_complex_M1_macrophage___Cytoplasm;1
RXRa_NUR77_complex_M1_macrophage___Cytoplasm;1
HIF1_complex;1
ACKR3_CXCL12_complex;1
CXCL13_ACKR4_complex_M1_macrophage__Cytoplasmic_membrane_up;1
IL15_M1_macrophage___Secreted_components;1
NFKBIA_phosphorylated_M1_macrophage___Cytoplasm;1
IRAK3;1
NFKB1_M1_macrophage___Cytoplasm;1
COX2_rna_M1_macrophage___nucleus;1
CCL3_M1_macrophage___Secreted_components;1
TNFAIP3_rna_M1_macrophage___nucleus;1
IRF5_ubiquitinated;1
CXCL10_M1_macrophage___Secreted_components;1
CXCL11;1
CXCL9_M1_macrophage___Secreted_components;1
CD40_M1_macrophage__Cytoplasmic_membrane_down;1
CD80;1
cFLIP_M1_macrophage___Cytoplasm_active;1
ITCH_phosphorylated_M1_macrophage___Cytoplasm;0
CCL5_M1_macrophage___Secreted_components;1
JAG1_M1_macrophage__Cytoplasmic_membrane_down;1
MMP9_M1_macrophage___Secreted_components;1
MMP14_M1_macrophage___Secreted_components;1
NOS2;1
TRAF1_rna_M1_macrophage___nucleus;1
MMP3_M1_macrophage___Secreted_components;1
CCL20_M1_macrophage___Secreted_components;1
BAX_M1_macrophage__Mitochondria_membrane;1
HES1_rna;1
IL10_rna;1
SOCS3_rna;1
CSF1_rna;1
IL4_rna;1
Vegfa_rna_M1_macrophage___nucleus;1
CXCL12;1
Hif1a;1
HBGEF_M1_macrophage___Secreted_components;1
NFKBIE_M1_macrophage___Cytoplasm;1
vcan;1
AREG_M1_macrophage___Secreted_components;1
SEMA4A_M1_macrophage___Secreted_components;1
ICAM1_M1_macrophage__Cytoplasmic_membrane_down;1
CXCL16_M1_macrophage___Secreted_components;1
HLA_DP_DQ_DR_M1_macrophage__Cytoplasmic_membrane_down;1
LTA_M1_macrophage___Secreted_components;1
CXCL13_M1_macrophage___Extracellular_Space;1
HMGB1;1
LGALS9_M1_macrophage___Secreted_components;1
CTNNB1_TCF_LEF_complex;1
smad4_smad1_complex;0
CXCL13_ACKR4_complex_M2_macrophage__cytoplasmic_membrane_up;1
ARI_ARII_bmp6_complex;0
GAL_GALR2_complex_M2_macrophage__cytoplasmic_membrane_up;1
GNA12_GNA13_complex_M2_macrophage__cytoplasm;1
PLXNB2_MET_complex;1
SEMA4_PLXNB2_MET_complex;1
FZD5_LRP5_wnt5a_complex;1
MK2_phosphorylated_M2_macrophage_nucleus;1
IL15_M2_macrophage__secreted_components;1
NFKBIA_phosphorylated_M2_macrophage__cytoplasm;1
MEKK1_M2_macrophage__cytoplasm;0
NFKB1_M2_macrophage__cytoplasm;1
MKK4_phosphorylated_M2_macrophage__cytoplasm;1
MKK7_phosphorylated_M2_macrophage__cytoplasm;1
JNK1_phosphorylated_M2_macrophage_nucleus;1
COX2_rna_M2_macrophage_nucleus;1
TNFAIP3_rna_M2_macrophage_nucleus;1
