stable_nodes_name;occurence;inputs
ACKR3_CXCL12_complex;1;ACVR2A_ACVR2B_complex
ACVR2A_ACVR2B_complex;0;ARI_ARII_bmp6_complex
ACVR2A_ACVR2B_INHBA_complex;0;BAD_M1_macrophage__Mitochondria_membrane
ACVR2A_ACVR2B_INHBB_complex;0;BAD_M2_macrophage_mitochondrion_membrane
ADAMTS4;1;CDC25B_C
ADAMTS9_rna;0,5;CDKN1A
ADCY8;0;CTNNB_CK1A_AXIN_GSK3B_APC_complex
AGT;1;DYNLRB1
AGT_F2R_complex;1;IGF1
AKT1_M1_macrophage___Cytoplasm;0;igG
AKT1_M2_macrophage_nucleus;0;ITCH_phosphorylated_M1_macrophage___Cytoplasm
AKT1_phosphorylated;0;ITCH_phosphorylated_M2_macrophage__cytoplasm
AKT1_TH1___cytoplasm;1;MEKK1_M2_macrophage__cytoplasm
AKT2;1;MIR124A_rna
AKT2_phosphorylated;1;MIR146A_rna
AMAP1;1;MIR192_rna
angiogenesis_signal_phenotype;1;MIR34A_rna
AP_1;1;MIR451A_rna
AP_1_phosphorylated;1;MIR650_rna
APAF1;0,5;NOD2
apoptosis_fibroblast_phenotype;0;OPN_M1_macrophage___Cytoplasm
apoptosis_M1_macrophage_phenotype;0;OPN_M2_macrophage__cytoplasm
apoptosis_M2_macrophage_phenotype;1;PP2A
apoptosis_TH1_phenotype;0;SARM1
Apoptosome_complex;0;Sirt1_M1_macrophage___nucleus
AREG_EGFR_complex;1;Sirt1_M2_macrophage__cytoplasm
AREG_Fibroblast___Extracellular_Space;1;SMAD2_SARA_complex_M1_macrophage___Cytoplasm
AREG_M1_macrophage___Secreted_components;1;SMAD2_SARA_complex_M2_macrophage__cytoplasm
ARHGEF12;1;SMAD4_M1_macrophage___Cytoplasm
ARHGEF2_Fibroblast___Cytoplasm;1;SMAD4_M2_macrophage__cytoplasm
ARHGEF2_TH1___cytoplasm;1;sst
ARI_ARII_bmp6_complex;0;THBS1_rna
ARRB2_Fibroblast___Cytoplasm;1;TLR4_Md2_CD14_fibrinogen_complex
ARRB2_M1_macrophage___Cytoplasm;1;TLR5_M1_macrophage__Cytoplasmic_membrane_up
ARRB2_M2_macrophage__cytoplasm;1;TP73_phosphorylated
ASC_M1_macrophage___Cytoplasm;1;TRAF6_M1_macrophage___Cytoplasm
ASC_M2_macrophage__cytoplasm;1;ZC3H12A
ASK1_M1_macrophage___Cytoplasm;1;AGT
ASK1_M2_macrophage__cytoplasm;1;ASC_M1_macrophage___Cytoplasm
BAD_Fibroblast___Mitochondrion;0;biglycan_simple_molecule
BAD_M1_macrophage__Mitochondria_membrane;0;BSG
BAD_M2_macrophage_mitochondrion_membrane;0;c5a_M1_macrophage___Extracellular_Space
BAK1;0;c5a_M2_macrophage__extracellular_space
BAX_Fibroblast___Mitochondrion;0;CALCINEURIN
BAX_Fibroblast___Mitochondrion_active;0;Casp1_M1_macrophage___Cytoplasm
BAX_M1_macrophage__Mitochondria_membrane;1;Casp1_M2_macrophage__cytoplasm
BAX_M2_macrophage_mitochondrion_membrane;1;CCL18_M2_macrophage__secreted_components
BCL2_Fibroblast___Mitochondrion;1;CCl21_M1_macrophage___Extracellular_Space
BCL2_M1_macrophage__Mitochondria_membrane;1;CCl21_M2_macrophage__extracellular_space
BCL2_M1_macrophage__Mitochondria_membrane_active;0;CCR5
BCL2_M2_macrophage_mitochondrion_membrane;1;CD28
BCL2_M2_macrophage_mitochondrion_membrane_active;0;CD40LG_M2_macrophage__cytoplasmic_membrane_down
Bcl2_rna_M1_macrophage___nucleus;1;cGAS
Bcl2_rna_M2_macrophage_nucleus;1;cIAP1
BCL2A1_rna;1;col4a3_M2_macrophage__secreted_components
BCL2L1_M1_macrophage__Mitochondria;1;col4a4_Fibroblast___secreted_components
