node;value;;;DEG;Boolean value in SDY998 ;Adjusted p_value;logFC;Boolean value in literature;Reference
AGT_F2R_complex;1;;;F2R;1;3,47E-13;3,77;;
CCL2;1;;;CCL2;;;;1;1522232
CCL2_CCR2_complex;1;;;;;;;;
CCL4_5_CCR5_complex;1;;;CCR5;1;1,19E-16;3,81;1;10323208
CCL4_TH1___extracellular_space;1;;;CCL5;1;2,48E-11;6,45;;
CCL4_TH1___secreted_components;1;;;CCL4;1;1,12E-13;5,97;;
CCL5_TH1___extracellular_space;1;;;CXCL10;;;;1;28148302
CCL5_TH1___secreted_components;1;;;CXCR3;;;;1;27190305
CCR5;1;;;CXCL16;;;;1;16200580
CXCL10_CXCR3_complex;1;;;;;;;;
CXCL10_TH1___extracellular_space;1;;;;;;;;
CXCL10_TH1___secreted_components;1;;;;;;;;
CXCL16;1;;;;;;;;
CXCL16_CXCR6_complex;1;;;;;;;;
EOMES;1;;;EOMES;1;1,59E-44;5,67;;
FGR;1;;;FGR;1;1,59E-18;6,4;;
HLA_DP_DQ_DR_LAG3_complex;1;;;LAG3;1;1,46E-11;4,8;;
HLA_DP_DQ_DR_TCR_CD3_complex;1;;;HLA-DRB5;1;0,0003;5,52;;
;;;;HLA-DQA1;1;4,19E-14;5,27;;
;;;;HLA-DQB2;1;1,53E-08;4,94;;
;;;;HLA-DQA2;1;4,44E-16;5,2;;
;;;;HLA-DRB1;1;5,97E-09;3,97;;
;;;;HLA-DPB1;1;6,87E-08;3,59;;
IFNG_IFNGR1_IFNGR2_complex;1;;;IFNG;1;2,98E-15;5,06;1;8961900
IFNg_TH1___extracellular_space;1;;;IFNGR1;;;;1;25708927
IFNg_TH1___secreted_components;1;;;IFNGR2;;;;1;25708927
IFNGR1_IFNGR2_complex;1;;;;;;;;
IL10_IL10RA_IL10RB_complex;1;;;;;;;;
IL12_TH1___extracellular_space;1;;;IL12;;;;1;32264938
IL12_TH1___secreted_components;1;;;IL12RB1;;;;1;32264938
IL12Rb1_IL12Rb2_complex;1;;;IL12RB2;;;;1;32264938
IL12Rb1_IL12Rb2_IL12_complex;1;;;IL18R1;;;;1;14994387
IL18R1_IL18RAP_complex;1;;;IL18;;;;1;14532149
IL27;1;;;IL9R;;;;1;19723899
IL27_IL27RA_complex;1;;;IL2R;;;;1;32264938
IL9R_IL2RG_IL9_complex;1;;;IL9;;;;1;26078482
LGALS9;1;;;TIM3;1;1,04E-19;7,35;;
MIF_CD74_complex;1;;;CD74;1;0,014;2,89;;
RUNX3;1;;;IL27;;;;1;17015723
SEMA4D;1;;;IL27R;;;;1;32518420
STAT1;1;;;STAT1;;;;1;33779079
STAT1_STAT1_complex;1;;;;;;;;
STAT4;1;;;;;;;;
STAT4_STAT4_complex;1;;;STAT4;;;;1;17804842
tbx21;1;;;TBX21;;;;1;3333523
tbx21_phosphorylated;1;;;;;;;;
TNFSF4;1;;;;;;;;
TNFSF4_TNFRSF4_complex;1;;;TNFSF4;1;1,54E-09;5,96;1;11069062
VCAM1_ITGA4_ITGB7_complex;1;;;VCAM1;1;2,97E-15;7,01;;
