stable_nodes_name;occurence
ADCY8;0
AREG;1
ARHGEF2;1
BAX_Fibroblast___Mitochondrion;0
BCL2;1
BCL2L1_rna;1
BCL2L11_Fibroblast___Cytoplasm;0
BID;0
CASP3;0
CCL18;1
CCL2_Fibroblast___secreted_components;1
CCL5_Fibroblast___secreted_components;1
CCR2_CCL2_complex;1
CCL5_CCR5_complex;1
LBP_CD14_complex;1
CFLAR_Fibroblast___Cytoplasm;1
cGAS;1
COMP;1
CRKL_phosphorylated;1
CSF2_Fibroblast___Extracellular_Space;1
CSF2RA_CSF2RB_complex;1
CSK;1
CXCL10_Fibroblast___Extracellular_Space;1
CXCL13;1
CXCL8_Fibroblast___Extracellular_Space;1
CXCR2_CXCL8_complex;1
CXCL10_CXCR3_complex;1
MIF_CXCR4_complex;1
CYCS;0
FN1_Fibroblast___secreted_components;0
EDA;1
EGF;1
EGFR;1
GAB2_phosphorylated;1
FAS_FASL_complex;1
FGF1;1
IGF1_IGF1R_complex;0
FOS;1
FOXO1;0
WNT_FRIZZLED_complex;1
FN1_ITGAV_complex;0
VEGFR_NRP1_complex;0
HBEGF;1
IFNb1;1
IFNG_IFNGR1_R2_complex;1
IGF1;0
RHOA;0
IL10RA_IL10RB_IL10_complex;1
IL17A_Fibroblast___secreted_components;1
IL18_Fibroblast___secreted_components;1
IL18_IL18R_complex;1
IL1A;1
IL1B_Fibroblast___secreted_components;1
DUSP7;1
IL6_Fibroblast___secreted_components;1
IRAK4_Fibroblast___Cytoplasm;1
IRF5_Fibroblast___Cytoplasm;1
EPHB2;1
GAB1;1
IL1R1;1
JUN_phosphorylated;1
LY96;1
MAP2K3_phosphorylated;1
MAP2K4_phosphorylated;1
MAP2K6_phosphorylated;1
MAP2K7_phosphorylated;1
MAP3K1_phosphorylated;1
ITGA4_ITGB1_complex;1
MCL1;1
MDM2;1
MIF;1
MIR146A_rna;0
MIR192_rna;0
MIR650_rna;0
MMP1;1
MMP13;1
MMP3;1
NFAT5_phosphorylated;1
NFKB_complex;1
ITGA5_ITGB1_col4a5_complex;1
TP53_phosphorylated;1
PDGFC;1
PDGFC_PDGFRB_complex;1
PITPNM3_CCL18_complex;1
MAP4K4_phosphorylated;1
PTPN11_phosphorylated;1
PLXNB1_MET_sema4a_complex;1
NECTIN3_PTPRC_NECTIN1_complex;1
RANK_RANKL_complex;1
RAC1_2;1
RIPK1;1
ITGA4_ITGB1_sema7a_complex;1
SOCS3;1
SRC_phosphorylated;1
sst;0
sst_sstr_complex;0
STAT1_Fibroblast___Cytoplasm;1
STAT3_Fibroblast___Cytoplasm;1
TAB1_TAB2_complex;1
TBK1_IKBKE_complex;1
TCF_LEF;1
TGFb1;1
TGFB1_TGFBR1_complex;1
TIRAP;1
LY96_TLR2_4_complex;1
TLR5;1
TNF_Fibroblast___secreted_components;1
TNF_TNFRSF1A_B_complex;1
TRADD;1
TRAF2;1
TRAF6;1
TXK;1
VAV1_2_3_phosphorylated;1
ADAMTS9_rna;0,5
AKT2;1
AKT2_phosphorylated;1
AMAP1;1
APAF1;0,5
apoptosis_fibroblast_phenotype;0
Apoptosome_complex;0
AREG_EGFR_complex;1
BAD;0
BAX_Fibroblast___Mitochondrion_active;0
BCL2L11_Fibroblast___Cytoplasm_active;0
BRAF_phosphorylated;0
CALCINEURIN;1
CASP8;0
CASP9;0,5
CAV1_rna;1
CCL2_Fibroblast___Extracellular_Space;1
CCL5_Fibroblast___Extracellular_Space;1
CD40LG_CD40_complex;1
Cell_chemotaxis_migration_fibroblast_phenotype;1
CFLAR_Fibroblast___Cytoplasm_active;1
col4a3;0,5
CREB1_phosphorylated;1
CSF2_Fibroblast___secreted_components;1
CSF2RA_CSF2RB_CSF2_complex;1
CTNNB_CK1A_AXIN_GSK3B_APC_complex;0
CTNNB1;0
CXCL10_Fibroblast___secreted_components;1
CXCL13_CXCR3_complex;1
CXCL8_Fibroblast___secreted_components;1
CXCR3;1
DAXX;1
DOCK2;0,5
DOCK2_CRKL_complex;0,5
DVL1_phosphorylated;1
EDA_EDA2R_complex;1
EGF_EGFR_complex;1
FADD;1
FASLG;1
FGF1_FGFR4_complex;1
FN1_Fibroblast___Extracellular_Space;0
FOXO3;0
GNAI3;1
GRB2;1
HBEGF_EGFR_complex;1
HOMODIMER_space_STAT1;1
ICAM1_ITGB2_ITGAL_complex;1
IFNa1;1
IFNa1_B1;1
IFNA1_B1_IFNAR1_R2_complex;1
IFNB1_rna;1
IKBA_NFKB1_RELA_complex;1
IKBKB_phosphorylated;1
IKK_complex;1
IKK1_IKK2_complex;0,25
IKK1_phosphorylated;0,5
IKK2_phosphorylated;0,5
IL17A_Fibroblast___Extracellular_Space;1
IL17A_IL17RA_complex;1
IL18_Fibroblast___Extracellular_Space;1
IL1A_IL1R1_complex;1
IL1B_Fibroblast___Extracellular_Space;1
IL1B_IL1R1_complex;1
IL6_Fibroblast___Extracellular_Space;1
IL6_IL6R_complex;1
IL6_IL6ST_complex;1
IRAK1_Fibroblast___Cytoplasm;1
IRAK1_Fibroblast___Cytoplasm_active;1
IRAK1_IRAK4_complex;1
IRAK4_Fibroblast___Cytoplasm_active;1
IRF3_phosphorylated;1
IRF5_Fibroblast___nucleus;1
IRF9;1
ISGF3_complex;1
ITGA4_ITGB1_col4a3_complex;0,5
JAK1;0
JAK2;0
JAK3;0
LCK_phosphorylated;0,5
LTBP1;0
MAP2K1_phosphorylated;1
MAP3K14_phosphorylated;1
MAP3K2_3_4;0,5
MAP3K5_phosphorylated;1
MAP3K7_phosphorylated;1
MAP3K8_phosphorylated;1
MAPK1_empty;0
MAPK1_phosphorylated;0
MAPK14_phosphorylated;1
MAPK3_complex;0,5
MAPK3_phosphorylated;1
MAPK8_phosphorylated;0,5
MAPK9_phosphorylated;1
MAPKAPK2_phosphorylated;1
MDM2_phosphorylated;1
MIR10a_rna;0
MIR338_5P_rna;0,5
MIR451A_rna;0
MYD88;1
NFKB_N_complex;1
NFKB1_MAP3K8_complex;1
ngef;1
NRAS;0
p38MAPK_empty;1
p38MAPK_phosphorylated;0
PI3_4_5_P__3_simple_molecule;0,5
PI4_5_P__2_simple_molecule;1
PIK3R5_phosphorylated;1
PP2A;0
PRKACA;0
PRKCQ;0,5
PRKG1;1
proliferation_survival_fibroblast_phenotype;1
PTEN;0,5
PTK2B_phosphorylated;1
PTPN6;0,5
pyk2_phosphorylated;1
RAB5A;1
RAF1;0,5
rasa1;1
RELA_NFKB1_NFKBIE_complex;1
RIPK1_TRAF6_complex;1
RPS6KB1_phosphorylated;1
SARM1;0
sema7a;1
SH2D1A;0,5
SHC2_phosphorylated;1
SHP2_GRB2_complex;1
SOS1;1
STAT1_Fibroblast___nucleus;1
STAT1_STAT2_complex;1
STAT2;1
STAT3_Fibroblast___nucleus;1
TAB1_TAB2_TAK1_complex;1
TAB1_TAB2_TRAF6_complex;1
tBID;0
TGFB1_Fibroblast___Extracellular_Space;1
TGFB1_Fibroblast___Extracellular_Space_active;1
TICAM1;1
TICAM1_TICAM2_complex;1
TICAM2;1
TIRAP_MYD88_complex;1
TNF_Fibroblast___Extracellular_Space;1
TNFRSF10A_rna;1
TNFRSF10B_rna;1
TNFSF11_Fibroblast___Extracellular_Space;1
TNFSF11_Fibroblast___secreted_components;1
TP73_phosphorylated;0
TRAF2_TRAF5_complex;1
TRAF3;1
TRAF3_TRAF6_complex;1
TRAF3IP2_phosphorylated;1
TRAF6_phosphorylated;1
TYK2;1
VEGFa_Fibroblast___Extracellular_Space;1
VEGFa_Fibroblast___secreted_components;1
VEGFA_rna;1
VEGFA_VEGFR_NRP1_complex;0
WNT5A;1
YWHAQ;0
YY1;1
ZC3H12A;0
